[2023-02-11 16:06:46,942][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9hvecin0
[2023-02-11 16:06:46,943][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9hvecin0/_remote_module_non_sriptable.py
[2023-02-11 16:06:47,171][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-11 16:06:58,485][cross_view_transformer.tabular_logger][WARNING] - Missing logger folder: /home/goroyeh/GKT/segmentation/logs/lightning_logs
[2023-02-11 16:16:24,890][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011998, train/loss/visible_step:0.011942, train/loss/center_step:0.000564, epoch:1, step:2949
[2023-02-11 16:16:33,760][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.010089, train/loss/visible_step:0.010036, train/loss/center_step:0.000531, epoch:1, step:2999
[2023-02-11 16:16:42,642][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015285, train/loss/visible_step:0.015210, train/loss/center_step:0.000756, epoch:1, step:3049
[2023-02-11 16:16:51,481][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.010383, train/loss/visible_step:0.010302, train/loss/center_step:0.000807, epoch:1, step:3099
[2023-02-11 16:17:00,332][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006055, train/loss/visible_step:0.006001, train/loss/center_step:0.000536, epoch:1, step:3149
[2023-02-11 16:17:09,122][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.003543, train/loss/visible_step:0.003520, train/loss/center_step:0.000226, epoch:1, step:3199
[2023-02-11 16:17:17,969][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.016638, train/loss/visible_step:0.016541, train/loss/center_step:0.000970, epoch:1, step:3249
[2023-02-11 16:17:26,808][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013566, train/loss/visible_step:0.013489, train/loss/center_step:0.000771, epoch:1, step:3299
[2023-02-11 16:17:35,621][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.019318, train/loss/visible_step:0.019220, train/loss/center_step:0.000979, epoch:1, step:3349
[2023-02-11 16:17:44,371][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009895, train/loss/visible_step:0.009817, train/loss/center_step:0.000786, epoch:1, step:3399
[2023-02-11 16:17:53,165][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011256, train/loss/visible_step:0.011195, train/loss/center_step:0.000609, epoch:1, step:3449
[2023-02-11 16:18:01,936][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009229, train/loss/visible_step:0.009171, train/loss/center_step:0.000583, epoch:1, step:3499
[2023-02-11 16:18:36,696][cross_view_transformer.tabular_logger][INFO] - train/metrics/iou@0.40:0.313229, train/metrics/iou@0.50:0.218067, train/metrics/iou_with_occlusions@0.40:0.277144, train/metrics/iou_with_occlusions@0.50:0.171059, val/loss:0.012631, val/loss/visible:0.012560, val/loss/center:0.000705, val/metrics/iou@0.40:0.275398, val/metrics/iou@0.50:0.178921, val/metrics/iou_with_occlusions@0.40:0.238362, val/metrics/iou_with_occlusions@0.50:0.141261, epoch:1, step:3517
[2023-02-11 16:18:36,723][cross_view_transformer.tabular_logger][INFO] - train/loss_epoch:0.011948, train/loss/visible_epoch:0.011872, train/loss/center_epoch:0.000765, epoch:2, step:3517
[2023-02-11 16:18:36,746][cross_view_transformer.tabular_logger][INFO] - lr-AdamW:0.001595, step:3518
[2023-02-11 16:18:43,442][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009347, train/loss/visible_step:0.009300, train/loss/center_step:0.000475, epoch:2, step:3549
[2023-02-11 16:18:52,687][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006027, train/loss/visible_step:0.005980, train/loss/center_step:0.000476, epoch:2, step:3599
[2023-02-11 16:19:02,026][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.007037, train/loss/visible_step:0.006989, train/loss/center_step:0.000487, epoch:2, step:3649
[2023-02-11 16:19:10,906][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011031, train/loss/visible_step:0.010988, train/loss/center_step:0.000427, epoch:2, step:3699
